Cód.Original;Baia;Corredor;Nível;Cód.Barras
71004SCR;85;D;1;730020041525 7
71013U;86;D;1;789000239426 8
71014U;87;D;1;789000239427 5
71005SCR;88;D;1;730020041575 2
71266NA;88A;D;1;789000239808 2
61511U;88B;D;1;730020191028 7
61511CB SC;88B;D;1;130020261506 4
93951961; 001;G;1;789053710941 2
K48410 STD; 001;G;1;120160020773 1
K1807; 001;G;1;120160052755 6
90274984;001A;G;1;789053710875 0
90276974;002A;G;1;789053710876 7
93831960; 003;G;1;789053710936 8
K48510 STD; 003;G;1;120160020352 8
93750962;003A;G;1;789053710933 7
K48520; 005;G;1;120160020349 8
92525960; 006;G;1;789053710905 4
K48550; 007;G;1;120160020350 4
99443960; 007;G;1;789053711011 1
92581962; 008;G;1;789053710906 1
94971960;008A;G;1;789001634326 9
K48560; 009;G;1;120160020948 3
K48932; 010;G;1;120160020775 5
K48930; 010;G;1;120160020774 8
91379960; 010;G;1;789053710895 8
K48938; 010;G;1;120160020354 2
97411960;010A;G;1;789053710998 6
K48940; 011;G;1;120160020499 0
91467960; 011;G;1;789053710898 9
S48251 050; 012;G;1;120150020442 7
S48410; 012;G;1;120150020731 2
S48410 050;012A;G;1;120150020732 9
S48510 050; 013;G;1;120150020734 3
P995; 014;G;1;120150022816 4
S48510; 014;G;1;120150020733 6
C48110;014A;G;1;120350020689 0
C48110 050; 015;G;1;120350020746 0
S48600 050; 016;G;1;120150020740 4
S48700;016A;G;1;120150020373 4
S48700 050; 017;G;1;120150020741 1
S48800;017A;G;1;120150020375 8
S48800 050; 018;G;1;120150020742 8
S48810;018A;G;1;120150020407 6
S48810 050; 019;G;1;120150020743 5
A1077;019A;G;1;170350013675 8
A1074; 020;G;1;170350013673 4
E48030;020A;G;1;120150020162 4
P1236100;020A;G;1;789001536174 5
S48030 075;020A;G;1;120150022442 5
E48030 100;020A;G;1;120150040510 7
S48010; 021;G;1;120150020719 0
S48010 100; 021;G;1;120150020554 7
PA1157 STD;021A;G;1;789001532531 0
A48030 025; 023;G;1;789476601125 6
800018812000 STD; 024;G;1;789003034752 6
A48410 050; 025;G;1;120300022518 6
A48419 050; 025;G;1;789476606170 1
C48120; 026;G;1;120350020497 1
A48510 STD; 027;G;1;789476601164 5
C48180; 028;G;1;120350020747 7
A48510 050; 029;G;1;789476601165 2
CRA7093; 029;G;1;789003037298 6
89711190 050;02B;G;1;789053710854 5
E48520; 030;G;1;120150020333 8
8000373100000;030A;G;1;789053712103 2
CA0445 STD;030B;G;1;789003036192 8
GC6877 STD; 031;G;1;789476614461 9
102021; 031;G;1;789003037518 5
A48515 STD; 031;G;1;789476601166 9
GC6877 050; 032;G;1;789003036197 3
A48515 050; 032;G;1;789476604836 8
11419; 033;G;1;789267700330 8
V5629917; 034;G;1;100670053555 1
11273; 035;G;1;789267700314 8
11272; 036;G;1;789267700313 1
11169; 037;G;1;789267700298 1
11067; 038;G;1;789267700296 7
80001961405 050; 039;G;1;789003037342 6
A48600 050; 040;G;1;789476606073 5
AC2276 STD; 041;G;1;789003034305 4
77595600 STD; 042;G;1;789053710231 4
800010921050; 042;G;1;789003034213 2
800019222 050; 042;G;1;789003036486 8
A48270 STD; 043;G;1;789241554263 2
77595610 025; 043;G;1;789053710232 1
800019122000; 044;G;1;789053710135 5
50011992; 045;G;1;280300020490 8
GC6414; 046;G;1;120300022669 5
A48270 050; 046;G;1;789476601160 7
A68150 STD; 047;G;1;789241537322 9
A48015 050; 048;G;1;789476608186 0
A68010 020; 049;G;1;789476601215 4
87429620 050; 049;G;1;789053710706 7
A68010 030; 050;G;1;789476604840 5
A68150 010; 051;G;1;789241537323 6
800062610050 050; 052;G;1;789003034751 9
800062610000; 053;G;1;789003034592 8
M48332 STD; 054;G;1;789476604226 7
BC332J STD; 054;G;1;120060022486 1
M48332 025; 055;G;1;789476604227 4
BC374J 050'; 056;G;1;120060023724 3
M48332 050; 056;G;1;789476604228 1
M48332 075; 057;G;1;789476604229 8
M48332 100; 058;G;1;789476604230 4
87425640 100; 058;G;1;280060020547 2
87429600 STD; 059;G;1;789053710704 3
B48236 STD; 059;G;1;789476601547 6
B48236 025; 060;G;1;789476601548 3
B48236 050; 061;G;1;789476601549 0
B48236 075; 062;G;1;789476601550 6
B48236 100; 063;G;1;789476601551 3
77596620 050; 064;G;1;789053710242 0
M48333 075; 065;G;1;789476604234 2
M48333 100; 066;G;1;789476604235 9
77593615 025; 067;G;1;789000634217 3
77593610; 067;G;1;789000638925 3
M48176 100; 068;G;1;789476604208 3
M48375 100; 069;G;1;789476604242 7
61106220 020;06A;G;1;789003536755 0
B48237 STD; 070;G;1;789241539425 5
87428610; 070;G;1;789053710700 5
87428600; 070;G;1;789053710699 2
B48237 025; 071;G;1;789476601552 0
B48237 050; 072;G;1;789476601554 4
87428620; 072;G;1;789053710701 2
87428630; 073;G;1;789053710702 9
B48237 075; 073;G;1;789476601555 1
B48237 100; 074;G;1;789476601556 8
87428640 100; 074;G;1;789053710703 6
M48399 STD; 075;G;1;789476604249 6
M48399 025; 076;G;1;789476604250 2
M48399 050; 077;G;1;789476604251 9
48406UC; 077;G;1;730020020622 0
M48399 075; 078;G;1;120060020414 6
S48521; 079;G;1;120150020446 5
B48295 STD; 080;G;1;789476601557 5
B48295 025; 081;G;1;789476601558 2
B48295 050; 082;G;1;789476601559 9
B48295 075; 083;G;1;789476601560 5
S45000; 084;G;1;121070471171 6
77813600 STD; 085;G;1;789053713362 2
77813610 025; 086;G;1;789000635170 0
B48324 STD; 087;G;1;789241539370 8
77723600 STD; 087;G;1;789000635217 2
77723610 025; 088;G;1;789000635039 0
VS1177; 089;G;1;789001702537 9
50017049 STD; 090;G;1;789053711396 9
VS1178; 091;G;1;789001702538 6
50017381; 092;G;1;789053711413 3
50017052; 093;G;1;789053711397 6
48612U; 094;G;1;730020020672 5
48508UC; 094;G;1;730020020626 8
50017389; 095;G;1;789053711416 4
VA0480096; 096;G;1;120170023624 2
VE0480097; 097;G;1;120170023218 3
50017056; 098;G;1;280170020290 3
50017055;098A;G;1;789053711398 3
VS2770; 099;G;1;920010010061 2
VS2535;100;G;1;789322900353 1
VA0480091;101;G;1;120170023215 2
VE0480090;102;G;1;120170023217 6
VA0480080;103;G;1;120170023214 5
VA2600A;104;G;1;170170021383 5
50017048;105;G;1;789053711395 2
50017004;106;G;1;789053711389 1
VE0480079;107;G;1;120170023216 9
VS1158;107;G;1;920170020036 8
50017758;107;G;1;789053711484 3
UR1111;108;G;1;750100020003 0
7000407003;109;G;1;240230070042 6
