Cód.Original;Baia;;Nível;Cód.Barras
50915998;136;A;2;720020050764 1
70490325E;136;A;2;789582507826 5
50916490;136;A;2;720020050083 3
70917AN;136;A;2;130020050077 5
70917CB;136;A;2;730020051223 9
70916NA;136;A;2;130020050074 4
70916CB;136A;A;2;730020051222 2
50971290;137;A;2;720020050099 4
42111B;137;A;2;230020050498 7
70990263E;137A;A;2;789582508097 8
70415AG;137A;A;2;730020051219 2
70490405E;138;A;2;789582507903 3
70490705;138A;A;2;789582507922 4
7006240R1E;138A;A;2;789582536705 5
70490367;139;A;2;100020054099 2
70028NA;139;A;2;789854428882 3
50912298;139;A;2;720020050132 8
70490367RE;139;A;2;789582508718 2
3681P047;139A;A;2;789000235612 9
70490324RE;140;A;2;789582508790 8
70490324;140;A;2;100020054021 3
70428NA;140;A;2;789004839592 2
70490366;140;A;2;100020054098 5
70628NA;140;A;2;730020051178 2
50923990;140;A;2;789000215570 8
70490364RE;141;A;2;789582507864 7
50912090;141;A;2;720020050133 5
70027AG;141;A;2;730020051164 5
70490364;141;A;2;100020054045 9
70027NA;141;A;2;789000236365 3
7008243R1E;142;A;2;789000240296 3
70214NA;142;A;2;789000239856 3
3681M005E;142;A;2;789582502488 0
3681M007E;142;A;2;789582502489 7
70214AG;142;A;2;730020051214 7
70490698E;143;A;2;789582536972 1
50925390;143;A;2;720020050087 1
70316AN;143;A;2;130020050069 0
70316NA;143;A;2;789854427340 9
70313U;39;A;2;730020051141 6
7008205R91;40;A;2;789000240295 6
70212U;42;A;2;789000240556 8
7008136R1E;60;A;2;789000240301 4
70490822E;77;A;2;789582508547 8
70302U;79;A;2;730020051126 3
400508;80A;A;2;230020030945 2
3681E051;83A;A;2;789000237253 2
70490258E;9;A;2;789582504056 9
JH1616;154;AB;2;789002239891 8
70490400E; 001;AA;2;789582507898 2
HS133E;001A;AA;2;789582522026 8
36817419; 002;AA;2;100020055414 2
70431NA; 003;AA;2;130020050088 1
 0490042; 003;AA;2;100020057273 3
70180149; 004;AA;2;789582503307 3
524765EE; 005;AA;2;789582501555 0
70650044; 006;AA;2;789582504386 7
70590020E;006A;AA;2;789582507983 5
70650139; 007;AA;2;789582504427 7
70650132E; 008;AA;2;789582504424 6
0206133E; 008;AA;2;100080057019 1
70998004E;008A;AA;2;789582506026 0
 0520463; 010;AA;2;100700054209 6
70490034; 011;AA;2;100020051044 5
50913496; 011;AA;2;789000232418 0
70740174E; 012;AA;2;789582504597 7
70321SC; 012;AA;2;130020050096 6
2314J007; 013;AA;2;789582501781 3
70490301E; 013;AA;2;789582507806 7
3174D004E; 014;AA;2;789582502055 4
70490153E; 015;AA;2;789582503995 2
